17088,66,26,4,1044,178,38,4,6,22,12,4,6,14,0,112,4,8,124,272,138,54,50,22,56,80,54,8,74,16,62
682,115176,1316,86,9478,774,188,14,52,62,118,82,262,26,40,330,42,152,570,1298,1548,354,248,510,576,1824,80,6,638,30,120
160,366,14948,18,630,80,24,26,24,42,22,198,6,34,0,166,32,22,320,94,124,194,34,38,132,144,48,4,80,8,34
12,4,6,1776,86,482,2,0,8,0,2,0,6,2,4,8,10,10,6,34,160,10,64,34,14,174,2,0,6,30,2
9760,7414,962,109,667565,2692,2182,348,1058,931,1688,1330,6009,345,102,2423,944,439,4373,4943,8284,2391,677,1448,1124,1038,499,295,6180,327,1897
1044,854,140,192,1348,143281,61,60,143,32,317,67,104,11,47,192,44,78,523,1016,1719,2927,4712,312,497,2253,186,107,362,253,138
318,95,28,16,1094,120,18732,8,27,28,38,18,9,3,13,68,19,12,145,202,350,130,13,49,36,150,22,3,434,29,112
37,9,24,0,88,8,11,2376,17,4,4,4,0,4,2,9,5,5,15,15,20,16,7,7,9,10,20,32,55,1,2
68,96,25,5,658,188,7,9,21531,28,33,24,10,1,37,50,13,14,145,47,335,149,44,61,102,109,17,12,36,8,26
44,21,17,55,547,185,28,4,151,10418,39,13,28,11,1,16,9,29,52,85,410,59,8,90,62,195,19,10,52,28,65
101,50,41,3,958,214,18,8,34,22,20526,13,35,9,8,59,14,17,95,103,324,614,75,68,57,57,51,25,109,16,101
414,75,52,4,637,42,23,2,39,9,26,19384,16,0,14,40,51,45,121,80,123,39,22,24,127,88,14,5,64,14,76
98,244,17,40,4725,38,35,14,19,15,34,3,25031,21,3,221,8,8,131,116,126,164,13,61,23,28,64,3,104,41,72
90,17,13,4,399,18,11,7,2,37,14,3,12,4023,1,33,6,5,22,18,92,9,4,40,4,46,7,2,40,3,13
22,8,5,2,14,46,4,0,10,1,2,272,3,0,5037,5,1,1,20,30,65,93,75,71,32,10,1,2,1,1,165
515,317,55,7,1673,208,57,29,90,34,107,36,151,101,9,26054,20,175,187,300,479,294,43,676,167,118,35,12,123,21,230
82,7,17,4,105,32,21,2,7,3,14,44,5,3,4,12,6891,4,112,116,85,69,3,25,27,156,4,1,7,9,10
284,97,68,17,419,210,106,10,72,29,46,6,11,3,2,178,45,4870,356,337,190,253,35,141,75,133,78,65,41,28,60
494,262,144,16,1199,492,222,15,236,111,59,56,44,16,20,169,214,42,25795,520,639,625,74,165,848,497,100,76,144,52,217
1924,362,169,25,2617,745,438,31,50,61,91,84,92,16,42,259,39,43,457,58504,1237,1059,164,470,308,1052,238,127,378,140,134
809,783,113,329,3867,1347,225,112,437,463,400,210,118,20,42,310,130,246,904,1039,69243,1460,412,456,415,726,109,90,601,83,229
500,226,118,29,685,2662,165,36,83,31,836,64,41,18,138,139,266,64,677,729,976,70409,416,71,240,689,98,35,108,150,461
251,224,27,7,1052,3775,69,2,23,38,1020,11,31,2,67,50,50,55,417,233,534,402,40950,63,161,587,57,16,107,21,39
234,128,25,5,738,211,46,31,51,30,43,151,54,44,25,706,32,24,150,104,281,89,41,54222,71,371,72,13,121,10,135
491,183,23,6,371,298,38,12,29,50,30,29,54,2,9,49,17,25,249,329,369,271,85,136,21487,1856,57,11,64,13,12
702,533,67,70,521,1718,158,16,63,28,31,231,17,7,17,151,129,79,475,679,1061,549,712,141,969,122874,119,65,62,73,112
196,78,33,48,192,362,16,1,18,16,46,26,65,10,9,21,25,21,83,159,86,76,240,25,24,106,8759,36,58,9,13
72,16,3,0,86,26,2,14,8,2,26,1,2,1,0,6,4,5,62,11,46,23,9,76,19,22,6,1581,1,22,13
518,329,71,14,3334,129,407,36,26,75,99,49,103,7,2,190,9,39,204,413,637,125,50,102,58,51,62,3,18383,181,109
58,14,4,148,71,156,16,7,3,1,6,24,32,1,6,11,2,9,63,173,121,117,20,4,17,64,6,7,77,11823,12
200,73,31,2,1336,88,60,5,68,27,53,82,29,3,56,389,27,31,160,142,303,138,14,97,49,109,302,8,163,18,23157
